epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,1892.63,0.70954,0.40255,0.87471,0.89883,0.81477,0.87579,0.70053,0.72584,0.41395,0.90322,0.000885844,0.000885844,0.000885844
144,1905.72,0.71691,0.4105,0.87273,0.92917,0.82183,0.89119,0.73327,0.72538,0.41288,0.89946,0.000880343,0.000880343,0.000880343
145,1918.79,0.7023,0.41018,0.87265,0.91576,0.79868,0.88804,0.73078,0.71339,0.41241,0.89872,0.000874842,0.000874842,0.000874842
146,1931.85,0.69782,0.38898,0.86355,0.89681,0.82421,0.88204,0.7193,0.71689,0.40793,0.89736,0.00086934,0.00086934,0.00086934
147,1944.92,0.70952,0.41512,0.87351,0.92411,0.81323,0.88695,0.7233,0.71359,0.40605,0.90033,0.000863839,0.000863839,0.000863839
148,1958.07,0.69728,0.39463,0.86743,0.88659,0.83016,0.88893,0.73954,0.72311,0.41292,0.89944,0.000858338,0.000858338,0.000858338
149,1971.1,0.70625,0.41009,0.87264,0.8964,0.82315,0.89161,0.73416,0.7364,0.41544,0.90351,0.000852837,0.000852837,0.000852837
150,1984.14,0.70431,0.40627,0.87097,0.92634,0.8119,0.90262,0.74898,0.7194,0.4125,0.89847,0.000847336,0.000847336,0.000847336
151,1997.57,0.70049,0.38891,0.86386,0.92906,0.82275,0.883,0.7303,0.71829,0.41029,0.90141,0.000841835,0.000841835,0.000841835
152,2010.63,0.69907,0.41136,0.87308,0.87977,0.82222,0.87824,0.72532,0.71555,0.41564,0.89672,0.000836334,0.000836334,0.000836334
153,2023.68,0.69774,0.39406,0.86782,0.89122,0.82632,0.87717,0.72856,0.71245,0.41103,0.8962,0.000830833,0.000830833,0.000830833
154,2036.75,0.69437,0.38848,0.86609,0.86602,0.88945,0.90291,0.7333,0.71945,0.41298,0.9012,0.000825332,0.000825332,0.000825332
155,2049.85,0.69701,0.3895,0.86759,0.89802,0.8275,0.89727,0.73295,0.71724,0.41204,0.89862,0.000819831,0.000819831,0.000819831
156,2062.86,0.69411,0.3971,0.87058,0.88702,0.83614,0.83569,0.68237,0.7148,0.40488,0.89805,0.000814329,0.000814329,0.000814329
157,2075.9,0.69219,0.39071,0.86775,0.87484,0.80898,0.86794,0.72624,0.72142,0.40828,0.89671,0.000808828,0.000808828,0.000808828
158,2088.99,0.70173,0.4016,0.86945,0.88032,0.82513,0.88973,0.72704,0.72032,0.40417,0.89865,0.000803327,0.000803327,0.000803327
159,2102.21,0.68244,0.3894,0.8631,0.84531,0.82486,0.86532,0.70798,0.70689,0.40272,0.89443,0.000797826,0.000797826,0.000797826
160,2115.29,0.68335,0.38385,0.85732,0.88063,0.8287,0.88415,0.73224,0.70956,0.40614,0.89995,0.000792325,0.000792325,0.000792325
161,2128.35,0.68546,0.38921,0.86744,0.89625,0.82568,0.8909,0.73523,0.71471,0.40589,0.89869,0.000786824,0.000786824,0.000786824
162,2141.41,0.69181,0.40014,0.86954,0.95778,0.81706,0.90384,0.74442,0.71331,0.40661,0.89986,0.000781323,0.000781323,0.000781323
163,2154.49,0.68673,0.39593,0.86777,0.93177,0.81423,0.88798,0.71992,0.71543,0.40761,0.90054,0.000775822,0.000775822,0.000775822
164,2167.52,0.68641,0.38634,0.86372,0.89237,0.82584,0.89845,0.73295,0.71187,0.40693,0.89792,0.000770321,0.000770321,0.000770321
165,2180.52,0.68059,0.38607,0.86962,0.87835,0.82632,0.88658,0.73732,0.71613,0.40899,0.90016,0.00076482,0.00076482,0.00076482
166,2193.55,0.68523,0.39992,0.86694,0.95835,0.82386,0.87867,0.72503,0.71317,0.40769,0.89957,0.000759318,0.000759318,0.000759318
167,2206.69,0.69398,0.39501,0.86727,0.89612,0.81969,0.87196,0.70816,0.71839,0.40546,0.89997,0.000753817,0.000753817,0.000753817
168,2219.75,0.67766,0.38603,0.86039,0.93735,0.82244,0.8838,0.72248,0.70852,0.40441,0.89974,0.000748316,0.000748316,0.000748316
169,2232.87,0.68582,0.39432,0.8664,0.84342,0.82919,0.87538,0.72397,0.70648,0.40641,0.89665,0.000742815,0.000742815,0.000742815
170,2245.95,0.69056,0.39064,0.86468,0.9368,0.82579,0.87875,0.72697,0.71009,0.40735,0.89989,0.000737314,0.000737314,0.000737314
171,2259.06,0.6671,0.37717,0.85993,0.90034,0.8213,0.8837,0.72588,0.71384,0.40275,0.90618,0.000731813,0.000731813,0.000731813
172,2272.13,0.68514,0.39175,0.8711,0.88961,0.81525,0.8759,0.72251,0.71316,0.40686,0.90074,0.000726312,0.000726312,0.000726312
173,2285.15,0.6796,0.39191,0.86335,0.93346,0.80769,0.87936,0.72388,0.70301,0.40421,0.89503,0.000720811,0.000720811,0.000720811
174,2298.18,0.68067,0.38603,0.85973,0.9411,0.82288,0.87872,0.71293,0.71337,0.40337,0.90021,0.00071531,0.00071531,0.00071531
175,2311.28,0.67387,0.37323,0.86004,0.88135,0.82354,0.87999,0.72204,0.70113,0.4009,0.89592,0.000709809,0.000709809,0.000709809
176,2324.5,0.66715,0.38469,0.86038,0.88839,0.82505,0.89331,0.74742,0.70832,0.40336,0.89828,0.000704307,0.000704307,0.000704307
177,2337.55,0.6701,0.37725,0.85945,0.95484,0.81579,0.88788,0.73847,0.70643,0.4024,0.89785,0.000698806,0.000698806,0.000698806
178,2350.6,0.67835,0.38406,0.86175,0.88465,0.82554,0.89327,0.72575,0.71018,0.40095,0.89995,0.000693305,0.000693305,0.000693305
179,2363.64,0.67157,0.3756,0.86177,0.89301,0.82579,0.89537,0.72622,0.70398,0.40669,0.898,0.000687804,0.000687804,0.000687804
180,2376.69,0.67114,0.37917,0.86163,0.95478,0.80801,0.86811,0.71125,0.70898,0.40523,0.89733,0.000682303,0.000682303,0.000682303
181,2389.76,0.67848,0.38069,0.86233,0.95501,0.81667,0.86775,0.71496,0.70541,0.40848,0.90116,0.000676802,0.000676802,0.000676802
